date,amount,description
2025-01-10,3200.00,Paycheck direct deposit
2025-01-11,-850.00,Monthly rent payment
2025-01-12,-125.50,Electric bill - PG&E
2025-01-13,-89.99,Internet - Comcast
2025-01-14,-45.00,Water bill
2025-01-15,-78.50,Mobile phone - Verizon
2025-01-16,-195.00,Car payment
2025-01-17,-150.00,Student loan payment
2025-01-18,-250.00,Credit card payment
2025-01-19,-65.00,Spotify and Netflix subscriptions
2025-01-20,50.00,ATM withdrawal
2025-01-21,-32.99,Amazon Prime purchase
2025-01-22,-145.00,Costco bulk shopping
2025-01-23,-28.50,Uber ride to airport
2025-01-24,-12.99,Apple iCloud storage
2025-01-25,500.00,Tax refund deposit
