date,amount,description
2025-01-01,4500.00,January salary deposit
2025-01-02,-1200.00,Rent for January
2025-01-03,-145.67,Grocery shopping at Safeway
2025-01-04,-55.00,Gas station Chevron
2025-01-05,-89.99,Monthly gym membership
2025-01-06,-125.50,Electric and gas utilities
2025-01-07,-45.00,Water and sewage bill
2025-01-08,-78.99,Internet and cable
2025-01-09,-25.50,Coffee shop morning run
2025-01-10,-156.00,Dinner at Italian restaurant
2025-01-11,-89.00,Clothing at H&M
2025-01-12,-45.99,Pharmacy CVS
2025-01-13,-250.00,Car insurance premium
2025-01-14,100.00,Cash gift from friend
2025-01-15,-35.00,Lunch at food court
2025-01-16,-12.99,Spotify premium subscription
2025-01-17,-199.00,New shoes Nike
2025-01-18,-67.50,Pet food and supplies
2025-01-19,75.00,Side hustle payment
2025-01-20,-450.00,Dentist appointment
