date,type,amount,description,merchantName,latitude,longitude
2025-10-30,debit,45.67,Coffee Shop Downtown,Blue Bottle Coffee,37.7749,-122.4194
2025-10-29,debit,125.00,Grocery Store,Whole Foods Market,37.7833,-122.4167
2025-10-28,credit,2500.00,Monthly Salary,Acme Corp,,,
2025-10-27,debit,15.99,Streaming Service,Netflix,,,
2025-10-26,debit,89.43,Gas Station,Shell,37.7695,-122.4156
2025-10-25,debit,234.56,Restaurant Dinner,The French Laundry,38.4024,-122.4700
2025-10-24,debit,12.50,Fast Food,Chipotle,37.7749,-122.4194
2025-10-23,debit,67.89,Pharmacy,Walgreens,37.7833,-122.4167
2025-10-22,debit,450.00,Rent Utilities,PG&E,,,
2025-10-21,credit,150.00,Freelance Work,Client Payment,,,
2025-10-20,debit,23.45,Book Store,Barnes & Noble,37.7858,-122.4064
2025-10-19,debit,156.78,Electronics Store,Best Buy,37.7705,-122.4025
2025-10-18,debit,8.99,Mobile App,Spotify Premium,,,
2025-10-17,debit,34.56,Pizza Delivery,Domino's Pizza,37.7749,-122.4194
2025-10-16,debit,98.76,Fitness Gym,24 Hour Fitness,37.7833,-122.4167
2025-10-15,debit,200.00,Car Insurance,Geico,,,
2025-10-14,debit,76.54,Clothing Store,H&M,37.7885,-122.4075
2025-10-13,debit,145.67,Grocery Store,Safeway,37.7695,-122.4156
2025-10-12,credit,500.00,Tax Refund,IRS,,,
2025-10-11,debit,29.99,Subscription,Amazon Prime,,,
2025-10-10,debit,54.32,Coffee Shop,Starbucks,37.7749,-122.4194
2025-10-09,debit,178.90,Department Store,Target,37.7833,-122.4167
2025-10-08,debit,12.00,Parking Fee,ParkMobile,37.7858,-122.4064
2025-10-07,debit,89.00,Hair Salon,Supercuts,37.7705,-122.4025
2025-10-06,debit,345.67,Hotel Stay,Marriott,37.7749,-122.4194
2025-10-05,debit,23.45,Food Delivery,DoorDash,37.7833,-122.4167
2025-10-04,credit,1200.00,Bonus Payment,Acme Corp,,,
2025-10-03,debit,67.89,Pet Store,Petco,37.7695,-122.4156
2025-10-02,debit,456.78,Dentist Visit,SF Dental,37.7858,-122.4064
2025-10-01,debit,34.56,Bakery,Tartine,37.7609,-122.4158
2025-09-30,debit,98.76,Wine Shop,K&L Wine Merchants,37.7833,-122.4167
2025-09-29,debit,12.50,Car Wash,Quick Shine,37.7749,-122.4194
2025-09-28,debit,234.56,Electronics,Apple Store,37.7858,-122.4064
2025-09-27,credit,2500.00,Monthly Salary,Acme Corp,,,
2025-09-26,debit,45.67,Lunch,Panera Bread,37.7705,-122.4025
2025-09-25,debit,156.78,Home Improvement,Home Depot,37.7695,-122.4156
2025-09-24,debit,67.89,Movie Theater,AMC,37.7833,-122.4167
2025-09-23,debit,89.43,Gas Station,Chevron,37.7749,-122.4194
2025-09-22,debit,23.45,Ice Cream,Bi-Rite Creamery,37.7609,-122.4247
2025-09-21,debit,145.67,Grocery Store,Trader Joe's,37.7858,-122.4064
2025-09-20,debit,54.32,Coffee Shop,Philz Coffee,37.7749,-122.4194
2025-09-19,debit,298.00,Vet Visit,VCA Animal Hospital,37.7695,-122.4156
2025-09-18,credit,300.00,Side Gig,Consulting Work,,,
2025-09-17,debit,76.54,Sports Store,Dick's Sporting Goods,37.7833,-122.4167
2025-09-16,debit,34.56,Breakfast,Denny's,37.7705,-122.4025
2025-09-15,debit,123.45,Pharmacy,CVS,37.7858,-122.4064
2025-09-14,debit,45.67,Lunch Special,Subway,37.7749,-122.4194
2025-09-13,debit,267.89,Furniture,IKEA,37.7833,-122.4167
2025-09-12,debit,12.00,Toll Fee,FasTrak,,,
2025-09-11,debit,89.43,Garden Center,Lowe's,37.7695,-122.4156
2025-09-10,debit,456.78,Car Repair,Midas,37.7705,-122.4025
2025-09-09,credit,2500.00,Monthly Salary,Acme Corp,,,
